field,alias,table,comment,formula,fullname,matchCount,matches
administration_expense,管理费用,income,管理费用是指 企业行政管理部门为组织和管理生产经营活动而发生的各项费用。管理费用属于期间费用，在发生的当期就计入当期的损失或是利益。,,管理费用(元),1,管理费用(万元) income
asset_impairment_loss,资产减值损失,income,资产减值损失是指因资产的账面价值高于其可收回金额而造成的损失。 新会计准则规定资产减值范围主要是固定资产、无形资产以及除特别规定外的其他资产减值的处理。《资产减值》准则改变了固定资产、无形资产等的减值准备计提后可以转回的做法，资产减值损失一经确认，在以后会期间不得转回，消除了一些企业通过计提秘密准备来调节利润的可能，限制了利润的人为波动。资产减值损失在会计核算中属于损益类科目。,,资产减值损失(元),1,资产减值损失(万元) income
basic_eps,基本每股收益,income,理论算法：归属于普通股股东的当期净利润/(当期实际发行在外的普通股加权平均数=∑(发行在外普通股股数×发行在外月份数)／12),,基本每股收益(元),2,基本每股收益(元) indicator 基本每股收益 income
ci_minority_owners,归属于少数股东的综合收益总额,income,综合收益是指除所有者的出资额和各种为第三方或客户代收的款项以外的各种收入。根据美国财务会计准则委员会（FASB）1980年在第3号财务会计概念公告(SFAC3）（企业财务报表的要素）（后为1985年发布的SFAC6所取代）的解释，综合收益是指“一个主体在某一期间与非业主方面进行交易或发生其他事项和情况所引起的权益（净资产）变动。它包括这一期间内除业主投资和派给业主款外，一切权益上的变动。”,,归属于少数股东的综合收益总额(元),0,
ci_parent_company_owners,归属于母公司所有者的综合收益总额,income,综合收益是指除所有者的出资额和各种为第三方或客户代收的款项以外的各种收入。根据美国财务会计准则委员会（FASB）1980年在第3号财务会计概念公告(SFAC3）（企业财务报表的要素）（后为1985年发布的SFAC6所取代）的解释，综合收益是指“一个主体在某一期间与非业主方面进行交易或发生其他事项和情况所引起的权益（净资产）变动。它包括这一期间内除业主投资和派给业主款外，一切权益上的变动。”,,归属于母公司所有者的综合收益总额(元),0,
commission_expense,手续费及佣金支出,income,手续费及佣金支出，本科目主要核算企业（金融）发生的与其经营活动相关的各项手续费、佣金等支出。,,手续费及佣金支出(元),1,手续费及佣金支出(万元) income
commission_income,手续费及佣金收入,income,手续费及佣金收入是指公司为客户办理各种业务收取的手续费及佣金收入，包括办理咨询业务、担保业务、代保管等代理业务以及办理投资业务等取得的手续费及佣金，如业务代办手续费收入、咨询服务收入、担保收入、资产管理收入、代保管收入，代理买卖证券、代理承销证券、代理兑付证券、代理保管证券等代理业务以及其他相关服务实现的手续费及佣金收入等。,,手续费及佣金收入(元),1,手续费及佣金收入(万元) income
diluted_eps,稀释每股收益,income,理论算法：归属于普通股股东的当期净利润(扣除当期已确认为费用的稀释性潜在普通股的利息、稀释性潜在普通股转换时将产生的收益或费用、相关所得税的影响)/假设稀释性潜在普通股于当期期初(或发行日)已经全部转换为普通股，于此计算的普通股股数的加权平均数。,,稀释每股收益(元),1,稀释每股收益 income
disposal_loss_non_current_liability,非流动资产处置损失,income,“非流动资产处置损失”属于损益类的科目，在编制利润表时这些科目如果有本期发生额，要填在利润表中。“非流动资产处置损失”是营业外支出的明细科目，在损益表中计入“营业外支出”，“营业外支出”下方会单独列示“非流动资产处置损失”，但是包括在“营业外支出”项目中。,,非流动资产处置净损失(元),1,非流动资产处置损失(万元) income
exchange_income,汇兑收益,income,汇兑收益，是指用记账本位币，按照不同的汇率报告相同数量的外币而产生的差额。简单地说，就是公司的外币货币性项目和非货币性项目因汇率变动，在折算成本币时造成损益。而这部分汇兑差额作为财务费用，计入当期损益，从而影响公司利润。,,汇兑收益(元),1,汇兑收益(万元) income
fair_value_variable_income,公允价值变动收益,income,“公允价值变动收益” 这个科目，是“以公允价值计量且其变动计入当期损益的交易性金融资产”的一个科目。在资产负债表日，“交易性金融资产”的公允价值高于其账面价值的差额，应借记“交易性金融资产－公允价值变动”，贷记“公允价值变动损益”，公允价值低于其账面价值的差额，则做相反的分录。,,公允价值变动收益(元),1,公允价值变动收益(万元) income
financial_expense,财务费用,income,财务费用指企业在生产经营过程中为筹集资金而发生的筹资费用。包括企业生产经营期间发生的利息支出（减利息收入）、汇兑损益（有的企业如商品流通企业、保险企业进行单独核算，不包括在财务费用）、金融机构手续费，企业发生的现金折扣或收到的现金折扣等。但在企业筹建期间发生的利息支出，应计入开办费；为购建或生产满足资本化条件的资产发生的应予以资本化的借款费用，在“在建工程”、“制造费用”等账户核算。,,财务费用(元),2, 财务费用(万元) cash_flow 财务费用(万元) income
futures_profit_losss,期货损益,income,,,期货损益(万元),1,期货损益(万元) income
income_tax_expense,所得税费用,income,所得税费用是指企业经营利润应交纳的所得税。“所得税费用”，核算企业负担的所得税，是损益类科目；这一般不等于当期应交所得税，因为可能存在“暂时性差异”。如果只有永久性差异，则等于当期应交所得税。,,所得税费用(元),1,得税费用(万元) income
interest_expense,利息支出,income,利息支出是指临时借款的利息支出。在以收付实现制作为记帐基础的前提条件下，所谓支出应以实际支付为标准，即资金流出，标志着现金、银行存款的减少。就利息支出而言、给个人帐户计息，其资金并没有流出，现金、银行存款并没有减少，因此，给个人计息不应作为利息支出列支。,,利息支出(元),1,利息支出(万元) income
interest_income,利息收入,income,利息收入是指纳税人购买各种债券等有价证券的利息，外单位欠款付给的利息以及其他利息收入。包括：购买各种债券等有价证券的利息，如购买国库券，重点企业建设债券、国家保值公债以及政府部门和企业发放的各类有价证券；企业各项存款所取得的利息外单位欠本企业款而取得的利息；其他利息收入等。,,利息收入(元),1,利息收入(万元) income
invest_income_associates,对联营企业和合营企业的投资收益,income,持有的对联营企业及合营企业的投资，按照《企业会计准则第2号——长期股权投资》的规定，应当采用权益法核算，在按持股比例等计算确认应享有或应分担被投资单位的净损益时，应当考虑以下因素：投资企业与联营企业及合营企业之间发生的内部交易损益按照持股比例计算归属于投资企业的部分，应当予以抵销，在此基础上确认投资损益。投资企业与被投资单位发生的内部交易损失，按照《企业会计准则第8号———资产减值》等规定属于资产减值损失的，应当全额确认。投资企业对于纳入其合并范围的子公司与其联营企业及合营企业之间发生的内部交易损益，也应当按照上述原则进行抵销，在此基础上确认投资损益。投资企业对于首次执行日之前已经持有的对联营企业及合营企业的长期股权投资，如存在与该投资相关的股权投资借方差额，还应扣除按原剩余期限直线摊销的股权投资借方差额，确认投资损益。投资企业在被投资单位宣告发放现金股利或利润时，按照规定计算应分得的部分确认应收股利，同时冲减长期股权投资的账面价值。,,对联营企业和合营企业的投资收益(元),1,对联营企业和合营企业投资收益(万元) income
investment_income,投资收益,income,投资收益是对外投资所取得的利润、股利和债券利息等收入减去投资损失后的净收益。严格地讲，所谓投资收益是指以项目为边界的货币收入等。,,投资收益(元),2,投资收益(万元) indicator 投资收益(万元) income
minority_profit,少数股东损益,income,少数股东损益是一个流量概念，是指公司合并报表的子公司其它非控股股东享有的损益，需要在利润表中予以扣除。利润表的“净利润”项下可以分“归属于母公司所有者的净利润”和“少数股东损益”。其对应的存量概念是“少数股东权益”。,,少数股东损益(元),2, 少数股东损益(万元) cash_flow 少数股东损益(万元) income
net_pay_insurance_claims,赔付支出净额,income,赔付支出主要指核算企业（保险）支付的原保险合同赔付款项和再保险合同赔付款项。企业（保险）可以单独设置“赔款支出”、“满期给付”、“年金给付”、“死伤医疗给付”、“分保赔付支出”等科目。可按保险合同和险种进行明细核算。,,赔付支出净额(元),1,赔付支出净额(万元) income
net_profit,净利润,income,净利润（收益）是指在利润总额中按规定交纳了所得税后公司的利润留成，一般也称为税后利润或净利润。净利润的计算公式为：净利润=利润总额-所得税费用.净利润是一个企业经营的最终成果，净利润多，企业的经营效益就好；净利润少，企业的经营效益就差，它是衡量一个企业经营效益的主要指标。,,净利润(元),3,净利润(万元) indicator  净利润(万元) cash_flow 净利润(万元) income
non_operating_expense,营业外支出,income,营业外支出是企业发生的与其日常活动无直接关系的各项损失，主要包括非流动资产处置损失、公益性捐赠支出、盘亏损失、非常损失、罚款支出等。,,营业外支出(元),1,营业外支出(万元) income
non_operating_revenue,营业外收入,income,营业外收入是指企业确认与企业生产经营活动没有直接关系的各种收入。,,营业外收入(元),1,营业外收入(万元) income
np_parent_company_owners,归属于母公司所有者的净利润,income,准确来讲应称之为“归属于上市公司股东的净利润”，这是因为净利润都归属于股东，只是在合并报表中的净利润有一部分是归属于子公司的其它股东的，这些子公司的其它股东也依法按比例享有子公司的净利润。,,归属于母公司股东的净利润(元),1,归属于母公司股东净利润(万元) income
operating_cost,营业成本,income,营业成本，也称运营成本。是指企业所销售商品或者提供劳务的成本。营业成本应当与所销售商品或者所提供劳务而取得的收入进行配比。,,营业成本(元),1,营业成本(万元) income
operating_profit,营业利润,income,营业利润是企业最基本经营活动的成果，也是企业一定时期获得利润中最主要、最稳定的来源。2006年财政部颁布的新企业会计准则-30号财务报表列报中已对营业利润进行了调整，将投资收益调入营业利润，同时取消了主营业务利润和其他业务利润的提法，补贴收入被并入营业外收入，营业利润减营业外收支调整即得到利润总额。,,营业利润(元),2,营业利润(万元) indicator 营业利润(万元) income
operating_revenue,营业收入,income,每股营业收入=营业收入／期末总股本,,营业收入(元),1,营业收入(万元) income
operating_tax_surcharges,营业税金及附加,income,反映企业经营主要业务应负担的营业税、消费税、城市维护建设税、资源税和教育费附加等。填报此项指标时应注意，实行新税制后，会计上规定应交增值税不再计入“主营业务税金及附加”项，无论是一般纳税企业还是小规模纳税企业均应在“应交增值税明细表”中单独反映。根据企业会计“利润表”中对应指标的本年累计数填列。,,营业税金及附加(元),1,营业税金及附加(万元) income
other_composite_income,其他综合收益,income,其他综合收益是指企业根据企业会计准则规定未在损益中确认的各项利得和损失扣除所得税影响后的净额。企业在计算利润表中的其他综合收益时，应当扣除所得税影响；在计算合并利润表中的其他综合收益时，除了扣除所得税影响以外，还需要分别计算归属于母公司所有者的其他综合收益和归属于少数股东的其他综合收益。,,其他综合收益(元),0,
other_cost,其他业务成本,income,,,其他业务成本(万元),1,其他业务成本(万元) income
other_income,其他业务收入,income,,,其他业务收入(万元),1,其他业务收入(万元) income
other_profit,其他业务利润,income,,,其他业务利润(万元),1,其他业务利润(万元) income
policy_dividend_payout,保单红利支出,income,保单红利支出是根据原保险合同的约定，按照分红保险产品的红利分配方法及有关精算结果而估算，支付给保单持有人的红利。,,保单红利支出(元),1,保单红利支出(万元) income
premiums_earned,已赚保费,income,"已赚保费是指保险起期已经预先缴付的保险费,过去的保险期间的保费就成为已赚的保费。",,已赚保费(元),1,已赚保费(万元) income
rd_expense,研发费用,income,,,研发费用(万元),1,研发费用(万元) income
real_estate_sales_cost,房地产销售成本,income,,,房地产销售成本(万元),1,房地产销售成本(万元) income
real_estate_sales_income,房地产销售收入,income,,,房地产销售收入(万元),1,房地产销售收入(万元) income
refunded_premiums,退保金,income,退保金是指公司经营的长期人身保险业务中，投保人办理退保时，按保险条款规定支付给投保人的金额。,,退保金(元),1,退保金(万元) income
reinsurance_cost,分保费用,income,分保费用，是办理初保业务的保险公司向其他保险公司分保保险业务，在向对方支付分保费的同时，向对方收取的一定费用，用以弥补初保人的费用支出。,,分保费用(元),1,分保费用(万元) income
sale_expense,销售费用,income,销售费用是指企业在销售产品、自制半成品和提供劳务等过程中发生的各项费用。包括由企业负担的包装费、运输费、广告费、装卸费、保险费、委托代销手续费、展览费、租赁费（不含融资租赁费)和销售服务费、销售部门人员工资、职工福利费、差旅费、折旧费、修理费、物料消耗、低值易耗品摊销以及其他经费等。与销售有关的差旅费应计入销售费用。,,销售费用(元),1,销售费用(万元) income
subsidy_income,补贴收入,income,,,补贴收入(万元),1,补贴收入(万元) income
total_composite_income,综合收益总额,income,综合收益总额项目，反映企业净利润与其他综合收益的合计金额。综合收益，包括其他综合收益和综合收益总额。其中，其他综合收益反映企业根据企业会计准则规定未在损益中确认的各项利得和损失扣除所得税影响后的净额；综合收益总额是企业净利润与其他综合收益的合计金额。,,综合收益总额(元),0,
total_operating_cost,营业总成本,income,营业总成本=主营业务成本+其他业务成本+利息支出+手续费及佣金支出+退保金+赔付支出净额+提取保险合同准备金净额+保单红利支出+分保费用+营业税金及附加+销售费用+管理费用+财务费用+资产减值损失+其他,,营业总成本(元),1,营业总成本(万元) income
total_operating_revenue,营业总收入,income,每股营业总收入=营业总收入／期末总股本。旧准则：营业总收入=主营业务收入 ；新准则：(一般企业)营业总收入=营业收入+利息收入+已赚保费+手续费及佣金收入(银行、保险、证券),,营业总收入(元),1,营业总收入(万元) income
total_profit,利润总额,income,利润总额指企业在生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。,,利润总额(元),2,利润总额(万元) indicator 利润总额(万元) income
trust_income,托管收益,income,,,托管收益(万元),1,托管收益(万元) income
withdraw_insurance_contract_reserve,提取保险合同准备金净额,income,保险准备金是指保险人为保证其如约履行保险赔偿或给付义务，根据政府有关法律规定或业务特定需要，从保费收入或盈余中提取的与其所承担的保险责任相对应的一定数量的基金。,,提取保险合同准备金净额(元),1,提取保险合同准备金净额(万元) income
np_rate_merged_part,被合并方在合并前实现净利润,income ,,,被合并方在合并前实现净利润(万元),1,被合并方在合并前实现净利润(万元) income
adjusted_profit,扣除非经常损益后的净利润,indicator,非经常性损益这一概念是证监会在1999年首次提出的，当时将其定义为：公司正常经营损益之外的一次性或偶发性损益。《问答第1号》则指出：非经常性损益是公司发生的与经营业务无直接关系的收支；以及虽与经营业务相关，但由于其性质、金额或发生频率等方面的原因，影响了真实公允地反映公司正常盈利能力的各项收入。,,扣除非经常损益后的净利润(元),0,
adjusted_profit_to_profit,扣除非经常损益后的净利润/净利润,indicator,扣除非经常损益后的净利润/净利润(%),,扣除非经常损益后的净利润/净利润(%),0,
adjusted_roe,净资产收益率(扣除非经常损益),indicator,扣除非经常损益后的净利润（不含少数股东损益）*2/（期初归属于母公司股东的净资产+期末归属于母公司股东的净资产）,,净资产收益率(扣除非经常损益)(%),0,
eps,每股收益EPS,indicator,理论算法：分子=归属于普通股股东的当期净利润；分母=当期实际发行在外的普通股加权平均数=∑(发行在外普通股股数×发行在外月份数)／12计；算值=分子／分母,,每股收益EPS(元),0,
expense_to_total_revenue,营业总成本/营业总收入,indicator,营业总成本/营业总收入(%),,营业总成本/营业总收入(%),0,
financing_expense_to_total_revenue,财务费用/营业总收入,indicator,财务费用/营业总收入(%),,财务费用/营业总收入(%),0,
ga_expense_to_total_revenue,管理费用/营业总收入,indicator,管理费用/营业总收入(%),,管理费用/营业总收入(%),0,
goods_sale_and_service_to_revenue,销售商品提供劳务收到的现金/营业收入,indicator,销售商品提供劳务收到的现金/营业收入(%),,销售商品提供劳务收到的现金/营业收入(%),0,
gross_profit_margin,销售毛利率,indicator,毛利/营业收入,,销售毛利率(%),0,
inc_net_profit_annual,净利润环比增长率,indicator,环比增长率=（本期的某个指标的值-上一期这个指标的值）/上一期这个指标的值*100%。,,净利润环比增长率(%),0,
inc_net_profit_to_shareholders_annual,归属母公司股东的净利润环比增长率,indicator,环比增长率=（本期的某个指标的值-上一期这个指标的值）/上一期这个指标的值*100%。,,归属母公司股东的净利润环比增长率(%),0,
inc_net_profit_to_shareholders_year_on_year,归属母公司股东的净利润同比增长率,indicator,归属于母公司股东净利润是指全部归属于母公司股东的净利润，包括母公司实现的净利润和下属子公司实现的净利润；同比增长率，一般是指和去年同期相比较的增长率。同比增长 和上一时期、上一年度或历史相比的增长（幅度）。,,归属母公司股东的净利润同比增长率(%),0,
inc_net_profit_year_on_year,净利润同比增长率,indicator,（当期的净利润-上月（上年）当期的净利润）/上月（上年）当期的净利润=净利润同比增长率。,,净利润同比增长率(%),0,
inc_operation_profit_annual,营业利润环比增长率,indicator,环比增长率=（本期的某个指标的值-上一期这个指标的值）/上一期这个指标的值*100%。,,营业利润环比增长率(%),0,
inc_operation_profit_year_on_year,营业利润同比增长率,indicator,同比增长率就是指公司当年期的净利润和上月同期、上年同期的净利润比较。（当期的利润-上月（上年）当期的利润）/上月（上年）当期的利润=利润同比增长率。,,营业利润同比增长率(%),0,
inc_revenue_annual,营业收入环比增长率,indicator,环比增长率=（本期的某个指标的值-上一期这个指标的值）/上一期这个指标的值*100%。,,营业收入环比增长率(%),0,
inc_revenue_year_on_year,营业收入同比增长率,indicator,"营业收入,是指公司在从事销售商品、提供劳务和让渡资产使用权等日常经营业务过程中所形成的经济利益的总流入，而营业收入同比增长率，则是检验上市公司去年一年挣钱能力是否提高的标准，营业收入同比增长,说明公司在上一年度挣钱的能力加强了，营业收入同比下降，则说明公司的挣钱能力稍逊于往年。",,营业收入同比增长率(%),0,
inc_total_revenue_annual,营业总收入环比增长率,indicator,营业收入是指企业在从事销售商品，提供劳务和让渡资产使用权等日常经营业务过程中所形成的经济利益的总流入。环比增长率=（本期的某个指标的值-上一期这个指标的值）/上一期这个指标的值*100%。,,营业总收入环比增长率(%),0,
inc_total_revenue_year_on_year,营业总收入同比增长率,indicator,营业总收入同比增长率是企业在一定期间内取得的营业总收入与其上年同期营业总收入的增长的百分比，以反映企业在此期间内营业总收入的增长或下降等情况。,,营业总收入同比增长率(%),0,
invesment_profit_to_profit,价值变动净收益/利润总额,indicator,价值变动净收益/利润总额(%),,价值变动净收益/利润总额(%),0,
nav,每股净资产,indicator,,,每股净资产(元),1,每股净资产(元) indicator
net_non_operating_income,营业外收支净额,indicator,,,营业外收支净额(万元),1,营业外收支净额(万元) indicator
net_profit_margin,销售净利率,indicator,净利润/营业收入,,销售净利率(%),0,
net_profit_to_total_revenue,净利润/营业总收入,indicator,净利润/营业总收入(%),,净利润/营业总收入(%),0,
ocf_to_operating_profit,经营活动产生的现金流量净额/经营活动净收益,indicator,经营活动产生的现金流量净额/经营活动净收益(%),,经营活动产生的现金流量净额/经营活动净收益(%),0,
ocf_to_revenue,经营活动产生的现金流量净额/营业收入,indicator,经营活动产生的现金流量净额/营业收入(%),,经营活动产生的现金流量净额/营业收入(%),0,
operating_expense_to_total_revenue,营业费用/营业总收入,indicator,营业费用/营业总收入(%),,营业费用/营业总收入(%),0,
operating_profit_to_profit,经营活动净收益/利润总额,indicator,经营活动净收益/利润总额(%),,经营活动净收益/利润总额(%),0,
operation_profit_to_total_revenue,营业利润/营业总收入,indicator,营业利润/营业总收入(%),,营业利润/营业总收入(%),0,
primary_profit,主营业务利润,indicator,,,主营业务利润(万元),1,主营业务利润(万元) indicator
primary_revenue,主营业务收入,indicator,,,主营业务收入(万元),1,主营业务收入(万元) indicator
roa,总资产净利率ROA,indicator,净利润*2/（期初总资产+期末总资产）,,总资产净利率ROA(%),0,
roe,净资产收益率,indicator,归属于母公司股东的净利润*2/（期初归属于母公司股东的净资产+期末归属于母公司股东的净资产）,,净资产收益率ROE(%),0,
value_change_profit,价值变动净收益,indicator,公允价值变动净收益+投资净收益+汇兑净收益,,价值变动净收益(元),0,
recurring_net_profit,净利润(扣除非经常性损益后),indicator ,,, 净利润(扣除非经常性损益后)(万元),1,净利润(扣除非经常性损益后)(万元) indicator
area,地域,normal,,,,,
category,概念,normal,,,,,
industry,行业,normal,,,,,
pubDate,发布日期,normal,公司发布财报的日期,,发布日期,0,
statDate,统计日期,normal,"财报统计的季度的最后一天, 比如2015-03-31, 2015-06-30",,统计日期,0,
asset_management_reserve,证券资产菅理业务风险准备,security_indicator,证券资产菅理业务风险准备,,证券资产菅理业务风险准备,0,
branch_risk_reserve,分支机构风险资本堆备,security_indicator,分支机构风险资本堆备,,分支机构风险资本堆备,0,
broker_risk_reserve,经纪业务风险堆备,security_indicator,经纪业务风险堆备,,经纪业务风险堆备,0,
margin_trading_reserve,融资融券业务风险资本准备,security_indicator,融资融券业务风险资本准备,,融资融券业务风险资本准备,0,
net_asset_to_debt,净资产/负债,security_indicator,净资产/负债,,净资产/负债,0,
net_assets,净资产,security_indicator,为公布的母公司净资本及相关风险控制指标之一。,,净资产,1,净资产收益率加权(%) indicator
net_capital_to_debt,净资本/负债,security_indicator,净资本/负债,,净资本/负债,0,
net_capital_to_net_asset,净资本/净资产,security_indicator,净资本/净资产,,净资本/净资产,0,
net_capital_to_reserve,净资本/各项风险准备之和,security_indicator,为公布的母公司净资本及相关风险控制指标之一。,,净资本/各项风险准备之和,0,
net_capital_to_sales_department_number,净资本/营业部家数,security_indicator,净资本/营业部家数,,净资本/营业部家数,0,
operational_risk_reserve,营运风险堆备,security_indicator,营运风险堆备,,营运风险堆备,0,
own_equity_derivatives_to_net_capital,自营权益类证券及证券衍生品/净资本,security_indicator,自营权益类证券及证券衍生品/净资本,,自营权益类证券及证券衍生品/净资本,0,
own_fixed_income_to_net_capital,自营固定收益类证券/净资本,security_indicator,自营固定收益类证券/净资本,,自营固定收益类证券/净资本,0,
own_security_risk_reserve,证券自营业务风险准备,security_indicator,证券自营业务风险准备,,证券自营业务风险准备,0,
own_security_to_net_capital,证券自营业务规模/净资本,security_indicator,证券自营业务规模/净资本,,证券自营业务规模/净资本,0,
own_stock_to_net_capital,自营股票规模/净资本,security_indicator,自营股票规模/净资本,,自营股票规模/净资本,0,
security_net_capital,净资本,security_indicator,净资本是衡量证券公司资本充足和资产流动性状况的一个综合性监管指标，是证券公司净资产中流动性较高、可快速变现的部分，它表明证券公司可随时用于变现以满足支付需要的资金数额。为公布的母公司净资本及相关风险控制指标之一。,,净资本,0,
security_underwriting_reserve,证券承消业务风险准备,security_indicator,证券承消业务风险准备,,证券承消业务风险准备,0,
capitalization,总股本,indicator,公司已发行的普通股股份总数(包含A股，B股和H股的总股本),,总股本(万股),0,
circulating_cap,流通股本,indicator,公司已发行的境内上市流通、以人民币兑换的股份总数(A股市场的流通股本),,流通股本(万股),0,
circulating_market_cap,流通市值,history,流通市值指在某特定时间内当时可交易的流通股股数乘以当时股价得出的流通股票总价值。,A股市场的收盘价*A股市场的流通股数,流通市值(亿元),0,
market_cap,总市值,history,总市值是指在某特定的时间内，交易所挂牌交易全部证券(以总股本计)按当时价格计算的证券总值,A股市场的收盘价*总股本(A股+B股+H股的股本),总市值(亿元),0,
pb_ratio,市净率,indicator,每股股价与每股净资产的比率,市净率=（股票在指定交易日期的收盘价*当日人民币外汇牌价*截至当日公司总股本）/归属母公司股东的权益。,市净率(PB),0,
pcf_ratio,市现率,indicator,每股市价为每股现金净流量的倍数,市现率=（股票在指定交易日期的收盘价*当日人民币外汇牌价*截至当日公司总股本）/现金及现金等价物净增加额TTM,"市现率(PCF, 现金净流量TTM)",0,
pe_ratio,市盈率TTM,indicator,每股市价为每股收益的倍数，反映投资人对每元净利润所愿支付的价格，用来估计股票的投资报酬和风险,市盈率（PE，TTM）=（股票在指定交易日期的收盘价*当日人民币外汇挂牌价*截止当日公司总股本）/归属于母公司股东的净利润TTM。,"市盈率(PE, TTM)",0,
pe_ratio_lyr,市盈率,indicator,以上一年度每股盈利计算的静态市盈率. 股价/最近年度报告EPS,市盈率（PE）=（股票在指定交易日期的收盘价*当日人民币外汇牌价*截至当日公司总股本）/归属母公司股东的净利润。,市盈率(PE),0,
ps_ratio,市销率,indicator,市销率为股票价格与每股销售收入之比，市销率越小，通常被认为投资价值越高。,市销率TTM=（股票在指定交易日期的收盘价*当日人民币外汇牌价*截至当日公司总股本）/营业总收入TTM,"市销率(PS, TTM)",0,
turnover_ratio,换手率,indicator,指在一定时间内市场中股票转手买卖的频率，是反映股票流通性强弱的指标之一。,换手率=[指定交易日成交量(手)*100/截至该日股票的自由流通股本(股)]*100%,换手率(%),0,
